,C1,C2,C3,C4,C5,C6,cluster
237,3.6667,2.6667,3.3333,2.0,2.0,3.0,2
238,1.3333,1.6667,3.6667,2.3333,2.3333,3.0,0
239,3.3333,3.0,1.0,1.6667,4.6667,3.0,1
240,2.3333,2.6667,2.0,1.6667,2.3333,3.3333,1
241,4.0,4.6667,1.6667,3.0,3.0,4.3333,1
242,3.3333,1.0,4.6667,4.3333,1.3333,1.6667,2
243,3.3333,2.3333,4.0,2.6667,3.6667,1.0,2
244,2.0,2.0,3.6667,1.6667,1.3333,3.3333,0
245,2.3333,2.3333,3.3333,3.6667,1.3333,2.0,2
246,3.3333,2.6667,3.0,4.0,4.3333,2.0,2
247,2.6667,2.3333,2.3333,2.6667,1.3333,2.0,2
248,3.0,1.3333,4.6667,4.3333,3.0,1.3333,2
249,3.0,2.6667,3.6667,3.3333,2.0,1.0,2
250,3.0,4.0,1.0,2.3333,3.0,4.6667,1
251,4.3333,4.6667,1.3333,3.3333,3.3333,4.6667,1
252,1.6667,1.3333,3.3333,3.3333,2.0,1.0,0
253,3.6667,2.0,3.0,4.3333,1.6667,1.3333,2
254,3.0,2.0,3.6667,2.0,2.6667,2.3333,0
255,2.3333,3.0,3.0,3.0,2.6667,1.3333,2
256,4.0,4.3333,1.0,2.6667,4.3333,4.0,1
257,3.3333,2.6667,1.6667,1.6667,3.3333,2.3333,1
258,2.0,2.6667,1.0,1.3333,2.3333,3.6667,1
259,3.6667,1.6667,4.0,4.0,1.6667,3.0,2
260,1.0,1.3333,4.3333,1.3333,1.0,1.3333,0
261,2.3333,1.6667,4.3333,4.0,2.6667,1.3333,2
262,3.6667,3.6667,2.0,2.0,1.6667,3.6667,1
263,3.3333,3.3333,2.3333,4.3333,2.3333,1.6667,2
264,4.0,3.6667,2.3333,3.0,2.0,1.6667,2
265,4.3333,4.3333,1.3333,2.3333,4.0,3.3333,1
266,4.3333,4.3333,1.0,2.6667,4.0,3.6667,1
267,1.3333,2.0,3.0,1.0,2.6667,4.0,0
268,3.6667,3.3333,2.0,1.6667,3.0,4.3333,1
269,2.3333,2.3333,3.6667,3.3333,1.0,2.3333,0
270,1.6667,1.6667,2.0,1.3333,3.3333,1.3333,0
271,2.0,1.3333,4.6667,3.0,2.6667,1.0,0
272,2.6667,4.3333,2.0,1.3333,4.3333,5.0,1
273,4.3333,4.3333,1.0,3.3333,2.3333,4.6667,1
274,3.6667,3.3333,1.6667,1.3333,2.6667,3.3333,1
275,2.3333,1.0,2.0,3.0,5.0,1.0,2
276,1.3333,3.3333,2.6667,1.0,1.0,2.3333,0
277,3.3333,4.0,1.0,2.3333,4.3333,3.3333,1
278,3.3333,1.3333,3.6667,4.3333,3.6667,2.0,2
279,3.0,2.3333,3.0,4.6667,4.0,2.0,2
280,3.0,2.6667,3.6667,3.6667,3.3333,3.0,2
281,2.6667,1.3333,4.3333,1.3333,2.0,2.3333,0
282,2.0,1.3333,4.3333,2.6667,3.0,2.0,0
283,1.6667,1.3333,3.0,1.3333,4.0,2.0,0
284,3.3333,2.6667,1.6667,2.3333,4.6667,4.0,1
285,2.6667,1.0,5.0,3.6667,2.0,2.3333,0
286,2.3333,2.0,4.0,2.3333,2.6667,3.0,0
287,3.0,1.3333,4.6667,4.6667,2.6667,1.6667,2
288,2.6667,3.3333,2.0,1.6667,1.0,2.6667,1
289,1.6667,2.6667,4.0,1.3333,2.3333,2.3333,0
290,3.6667,3.3333,1.3333,2.6667,1.3333,1.6667,2
291,2.6667,3.3333,1.0,1.0,1.3333,3.6667,1
292,2.3333,2.0,2.6667,3.0,2.0,1.3333,2
293,1.6667,2.0,3.0,1.6667,2.3333,2.0,0
294,4.0,3.6667,1.3333,3.0,3.6667,3.0,1
295,2.3333,2.3333,3.3333,3.0,3.0,1.6667,2
296,4.0,3.0,3.0,3.6667,3.0,3.0,2
297,2.6667,2.6667,2.3333,2.6667,5.0,2.6667,2
298,2.3333,2.6667,3.0,2.3333,2.6667,2.6667,0
299,4.3333,4.6667,1.3333,3.0,3.6667,5.0,1
300,3.6667,2.0,1.0,4.6667,4.0,1.6667,2
301,3.6667,3.6667,1.6667,1.3333,3.3333,4.3333,1
302,4.3333,4.6667,1.6667,2.0,5.0,4.6667,1
303,3.6667,4.3333,2.0,3.3333,2.6667,3.6667,1
304,3.6667,2.3333,3.3333,4.0,1.3333,1.3333,2
305,4.0,4.3333,1.0,2.6667,3.6667,4.3333,1
306,1.3333,1.6667,3.3333,1.6667,1.3333,2.0,0
307,3.0,2.3333,2.6667,2.6667,1.0,1.6667,2
308,2.0,1.0,4.0,3.3333,1.0,1.0,0
309,3.3333,2.3333,1.3333,3.6667,5.0,2.0,2
310,2.6667,3.3333,4.0,1.6667,2.0,2.3333,0
311,3.6667,4.0,1.0,3.3333,4.6667,2.6667,1
312,2.6667,3.3333,2.6667,1.6667,2.0,2.3333,1
313,3.3333,3.3333,2.6667,1.0,1.0,3.6667,1
314,3.3333,1.0,2.6667,4.6667,3.6667,1.0,2
315,2.6667,3.0,2.0,1.0,3.3333,3.3333,1
316,3.0,2.6667,2.6667,2.0,2.6667,3.0,1
317,1.6667,1.3333,2.6667,2.0,2.0,1.3333,0
318,2.6667,4.3333,1.0,2.0,3.3333,5.0,1
319,2.3333,4.0,2.6667,2.0,2.3333,4.0,1
320,4.3333,4.3333,2.0,3.6667,4.0,4.3333,1
321,2.3333,1.6667,3.6667,3.0,3.6667,1.0,2
322,2.3333,1.0,4.3333,4.6667,2.3333,1.0,2
323,3.3333,3.6667,1.3333,1.6667,3.3333,4.3333,1
324,3.0,2.0,3.3333,4.0,4.3333,1.6667,2
325,3.6667,2.3333,2.0,4.0,3.6667,1.6667,2
326,2.6667,4.0,1.6667,1.3333,1.6667,3.3333,1
327,2.0,2.0,3.6667,2.0,2.0,1.0,0
328,3.0,3.6667,2.0,2.6667,3.3333,4.0,1
329,3.3333,3.3333,1.6667,3.6667,2.0,2.0,2
330,3.3333,3.0,3.3333,1.6667,3.3333,3.6667,1
331,3.0,2.3333,2.6667,2.3333,2.6667,1.6667,2
332,3.6667,2.6667,3.0,3.6667,2.6667,2.0,2
333,1.6667,2.0,3.0,2.3333,2.0,1.6667,0
334,2.6667,3.0,2.0,2.6667,5.0,1.0,2
335,1.6667,1.3333,4.3333,2.3333,2.0,2.3333,0
336,3.0,1.3333,4.3333,3.0,1.0,1.6667,0
337,4.0,4.3333,1.0,3.0,3.0,3.3333,1
338,3.0,3.3333,3.3333,1.0,2.6667,4.3333,1
339,1.6667,1.6667,4.0,3.6667,3.6667,2.6667,2
340,1.6667,1.3333,3.6667,2.3333,3.0,1.3333,0
341,2.3333,1.0,5.0,3.6667,1.0,1.6667,0
342,3.6667,4.3333,1.3333,1.3333,3.3333,4.0,1
343,3.0,4.0,1.3333,1.3333,2.0,4.3333,1
344,3.6667,4.6667,1.6667,1.6667,2.0,4.3333,1
345,2.6667,2.0,2.6667,3.0,2.6667,2.6667,2
346,2.6667,2.6667,3.6667,2.3333,2.0,4.0,0
347,3.6667,2.0,4.0,4.3333,2.3333,2.0,2
348,4.3333,4.0,3.0,2.3333,2.3333,3.6667,1
349,3.3333,3.6667,2.0,1.6667,4.3333,4.0,1
350,2.6667,2.0,1.0,4.6667,1.6667,2.0,2
351,3.6667,3.0,1.6667,3.0,4.6667,2.6667,1
352,2.0,2.3333,3.6667,3.6667,3.3333,1.0,2
353,3.0,2.0,3.0,2.6667,2.0,2.0,2
354,4.3333,4.3333,1.0,2.0,2.6667,4.3333,1
355,3.6667,4.0,1.3333,3.0,4.0,4.3333,1
356,3.6667,3.3333,1.6667,1.6667,2.0,3.3333,1
357,2.3333,2.3333,2.6667,4.3333,3.6667,2.6667,2
358,2.6667,2.6667,3.3333,4.0,2.6667,3.3333,2
359,2.6667,2.3333,3.0,2.0,4.0,2.0,2
360,3.6667,3.6667,1.0,2.0,2.6667,3.0,1
361,3.0,3.3333,2.3333,4.0,2.6667,2.0,2
362,4.3333,5.0,1.0,3.3333,3.6667,4.6667,1
363,2.3333,2.6667,1.3333,3.3333,5.0,2.3333,2
364,4.3333,4.6667,1.3333,2.0,4.3333,5.0,1
365,2.6667,1.6667,4.6667,3.3333,3.0,1.0,2
366,2.3333,2.3333,3.0,2.0,1.6667,2.3333,0
367,2.3333,2.0,3.3333,1.3333,1.0,2.3333,0
368,2.3333,2.0,2.6667,2.3333,1.3333,2.0,0
369,2.6667,3.0,2.0,2.0,2.0,2.3333,1
370,4.6667,4.6667,1.0,1.6667,2.6667,3.6667,1
371,2.6667,2.0,3.6667,3.3333,2.6667,1.6667,2
372,4.0,3.0,1.6667,4.3333,4.0,3.3333,2
373,3.6667,3.0,2.3333,2.0,4.3333,1.3333,2
374,2.6667,3.0,3.3333,2.3333,1.0,3.6667,0
375,2.0,1.6667,4.0,3.3333,2.3333,2.0,0
376,1.0,1.0,1.0,1.0,1.0,1.0,0
377,3.0,2.6667,3.3333,2.3333,2.6667,2.3333,2
378,2.6667,2.0,4.0,1.6667,2.0,4.0,0
379,3.3333,4.6667,1.0,1.0,4.3333,4.3333,1
380,3.3333,2.3333,3.3333,3.6667,2.3333,2.3333,2
381,4.3333,3.0,3.6667,3.0,4.6667,1.6667,2
382,2.6667,3.3333,1.6667,1.3333,1.0,2.6667,1
383,3.0,3.3333,2.3333,1.0,1.3333,3.6667,1
384,3.3333,2.3333,3.0,3.0,2.6667,1.6667,2
385,3.6667,2.0,3.3333,4.0,3.6667,2.0,2
386,4.0,4.0,1.0,3.0,3.3333,3.3333,1
387,1.6667,1.3333,4.3333,1.6667,2.3333,2.6667,0
388,4.0,3.0,3.6667,2.3333,3.6667,2.0,2
389,2.3333,3.6667,2.3333,1.0,2.0,4.3333,1
390,2.6667,1.3333,4.3333,3.6667,2.0,1.6667,2
391,2.6667,3.3333,3.0,2.3333,2.0,2.3333,2
392,3.0,2.3333,2.6667,1.0,4.3333,3.3333,1
393,2.0,2.6667,4.6667,2.0,1.0,4.0,0
394,2.0,1.0,3.6667,3.0,2.3333,1.0,0
395,1.0,1.0,4.0,1.6667,4.0,1.0,0
396,1.0,1.0,1.0,1.0,1.0,1.0,0
397,2.6667,2.3333,3.0,2.6667,2.0,2.0,2
398,4.0,4.6667,1.6667,2.0,2.0,3.6667,1
399,4.0,3.0,3.0,3.3333,2.6667,3.0,2
400,2.6667,2.0,4.3333,2.0,2.3333,2.0,0
401,1.6667,1.6667,3.6667,1.3333,2.0,2.6667,0
402,2.6667,2.6667,3.3333,2.3333,2.3333,2.0,0
403,2.3333,2.3333,1.0,1.0,5.0,4.0,1
404,2.0,2.3333,3.3333,2.3333,2.6667,2.0,0
405,3.3333,1.0,5.0,4.6667,1.3333,1.6667,2
406,2.3333,2.0,2.0,3.3333,3.0,2.3333,2
407,3.0,3.6667,2.3333,2.0,2.6667,3.6667,1
408,3.3333,2.6667,2.0,3.3333,2.6667,2.6667,2
409,2.0,2.3333,4.3333,1.3333,3.3333,2.6667,0
410,3.3333,3.3333,1.6667,1.6667,1.3333,3.0,1
411,3.0,1.0,3.6667,4.3333,2.0,1.0,2
412,2.6667,3.0,2.0,2.0,4.3333,1.3333,2
413,2.6667,1.3333,4.0,3.6667,2.0,1.6667,2
414,3.6667,3.0,3.6667,3.3333,4.6667,2.3333,2
415,2.6667,2.6667,1.3333,2.6667,2.3333,1.3333,2
416,3.6667,3.3333,2.6667,2.0,1.6667,2.3333,1
417,2.3333,2.6667,3.0,1.6667,1.0,3.6667,0
418,3.0,3.6667,1.3333,4.3333,3.0,1.3333,2
419,2.6667,1.6667,4.3333,3.0,2.3333,1.6667,0
420,4.0,4.6667,1.0,2.3333,1.6667,4.0,1
421,3.6667,4.3333,1.0,1.6667,3.0,3.6667,1
422,2.0,1.3333,4.0,4.0,2.0,1.0,2
423,3.3333,3.0,3.0,2.0,2.6667,4.3333,1
424,2.3333,2.6667,3.0,2.0,3.6667,1.6667,2
425,3.3333,3.6667,1.6667,1.0,4.6667,2.3333,1
426,2.3333,2.0,3.3333,2.6667,1.3333,2.0,0
427,3.6667,4.6667,1.6667,2.0,2.0,4.3333,1
428,4.6667,2.6667,3.6667,3.6667,2.0,2.0,2
429,4.0,4.6667,1.0,2.6667,3.3333,3.6667,1
430,3.6667,3.0,3.3333,4.6667,4.3333,2.6667,2
431,3.0,4.6667,2.0,1.6667,1.0,3.6667,1
432,4.3333,5.0,1.0,4.3333,5.0,4.0,1
433,2.3333,2.0,4.0,3.0,4.0,3.3333,2
434,1.6667,1.3333,4.0,2.6667,1.3333,1.6667,0
435,1.3333,1.0,5.0,3.0,1.3333,1.0,0
436,3.0,2.3333,3.3333,3.3333,1.6667,1.6667,2
437,1.6667,1.0,4.0,1.6667,2.3333,2.0,0
